id,text
id_000124,Shop nhiêt tình tư vấn. Sản phẩm giao nhanh gói hàng đẹp và chất lượng phù hợp giá tiền. Thanks shop 
id_000125,"Áo lót chất Okie nha mọi người , phù hợp với giá tiền . Sẽ tiếp tục mua nữa"
id_000126,"Shop giao hàng nhanh, gói hàng cẩn thận
Chất áo em thấy hơi nóng chút ạ"
id_000127,Chất đẹp
id_000128,Hàng đẹp lắm nha
id_000129,Shop ko có chế độ muốn mua nhiều cái nhiều màu khác nhau nhưng ko chọn đc.......
id_000130,"Chất lượng sản phẩm này tuyệt vời 
Giao hàng nhanh chóng và hiệu quả "
id_000131,"Hết trắng. Đen sẵn nhiều đủ size 
Cập bên siêu phẩm cho mùa hè nóng bức đây. 
Cứ đen với trắng là auto chả bjo hết mode
Set bộ đũi lụa sát nách cực xinh chất đũi cực mát 100% ko nhăn mặc nhẹ tênh.
Form dáng đơn giản ai mặc cũng hạp:)) cạp chun ce béo gầy bon chen dc hết.
sz S M L
S: 40-47kg
M: 48-54"
id_000132,San phammmmmmmmmmm ratttttt đrpplllll nawttttt matttt noi chung là đẹp
id_000133,Hdhdhdhfjfjdjdjdjdjdjdjdjdndnfnfnfnfnfnfnfbgbggggh
id_000134,Naksksnsksksjskskskskksksksksskkdkdkskskzkskkskdkdkdkskskssk
id_000135,Hshshdhdbdbdndbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
id_000136,"hàng chất lượng tốt phù hợp với giá cả, mình đã nhiều lần lấy sỉ của shop ko mua nhanh thì hết hàng :))"
